iter	RMSE
0	0.8063640479
1	0.7605931711
2	0.7204710405
3	0.6858872793
4	0.6553337325
5	0.6279808555
6	0.6037376845
7	0.5818551458
8	0.5630906755
9	0.5462859234
10	0.5318556728
11	0.5188233037
12	0.5076689775
13	0.4970388191
14	0.4875294814
15	0.4796961641
16	0.4717734847
17	0.4645878728
18	0.4586086984
19	0.4530964458
20	0.447894444
21	0.4432832485
22	0.4394310491
23	0.4360355444
24	0.4326043138
25	0.4296902637
26	0.4267599978
27	0.4241917717
28	0.4218804594
29	0.4190891164
30	0.4173139891
31	0.4155447127
32	0.4141059219
33	0.4123781308
34	0.4108410149
35	0.4093401657
36	0.4075584402
37	0.4059478549
38	0.4044475444
39	0.4032108335
40	0.4020635035
41	0.400725646
42	0.3995453361
43	0.3985772462
44	0.3972766793
45	0.396320116
46	0.3950963781
47	0.3944072741
48	0.3935442572
49	0.3926366924
50	0.3919046263
51	0.3909249156
52	0.3902665442
53	0.389407467
54	0.3884829633
55	0.387831847
56	0.3870009257
57	0.3863389059
58	0.3857707892
59	0.3852115497
60	0.3844536996
61	0.383758601
62	0.3830677242
63	0.3822573533
64	0.3814837253
65	0.3807737503
66	0.3803097084
67	0.37979219
68	0.3791912359
69	0.3787721117
70	0.3782322233
71	0.3776781689
72	0.3771138666
73	0.376629153
74	0.3760774403
75	0.3757220133
76	0.3753759004
77	0.3749572626
78	0.3742350366
79	0.373727973
80	0.3733872828
81	0.3729352045
82	0.3724283886
83	0.3719598455
84	0.3715344322
85	0.3711259602
86	0.370707064
87	0.3703404427
88	0.3698484965
89	0.3693741785
90	0.3691478862
91	0.3688710916
92	0.3685369696
93	0.3680104752
94	0.367663883
95	0.3673498334
96	0.3668500167
97	0.3665241749
98	0.3662654658
99	0.3658270462
100	0.3654175816
101	0.3651011242
102	0.3646561671
103	0.3642028958
104	0.3638622228
105	0.3634734642
106	0.3631262281
107	0.3627589559
108	0.3625326765
109	0.3621521845
110	0.3618526301
111	0.3615535264
112	0.3611102581
113	0.3609313546
114	0.3605734549
